RowNumber,CustomerId,Balance
1,15634602,0
2,15647311,83807.86
3,15619304,159660.8
4,15701354,0
5,15737888,125510.82
6,15574012,113755.78
7,15592531,0
8,15656148,115046.74
9,15792365,142051.07
10,15592389,134603.88
11,15767821,102016.72
12,15737173,0
13,15632264,0
14,15691483,0
15,15600882,0
16,15643966,143129.41
17,15737452,132602.88
18,15788218,0
19,15661507,0
20,15568982,0
21,15577657,0
22,15597945,0
23,15699309,0
24,15725737,0
25,15625047,0
26,15738191,0
27,15736816,136815.64
28,15700772,0
29,15728693,141349.43
30,15656300,59697.17
31,15589475,0
32,15706552,85311.7
33,15750181,110112.54
34,15659428,0
35,15732963,0
36,15794171,134264.04
37,15788448,145260.23
38,15729599,76548.6
39,15717426,0
40,15585768,70349.48
41,15619360,0
42,15738148,122522.32
43,15687946,117419.35
44,15755196,131394.56
45,15684171,155931.11
46,15754849,109421.13
47,15602280,112045.67
48,15771573,137843.8
49,15766205,103391.38
50,15771873,103769.22
51,15616550,116363.37
52,15768193,146050.97
53,15683553,0
54,15702298,125561.97
55,15569590,98495.72
56,15760861,125211.92
57,15630053,127864.4
58,15647091,75888.2
59,15623944,0
60,15804771,40685.92
61,15651280,136857
62,15773469,152328.88
63,15702014,56084.69
64,15751208,78707.16
65,15592461,109166.37
66,15789484,169831.46
67,15696061,101633.04
68,15641582,123180.01
69,15638424,150725.53
70,15755648,98373.26
71,15703793,133745.44
72,15620344,0
73,15812518,163607.18
74,15779052,157780.84
75,15770811,0
76,15780961,178718.19
77,15614049,0
78,15662085,0
79,15575185,77253.22
80,15803136,122189.66
81,15706021,96645.54
82,15663706,0
83,15641732,0
84,15701164,90307.62
85,15738751,0
86,15805254,0
87,15762418,121681.82
88,15625759,0
89,15622897,0
90,15767954,81623.67
91,15757535,0
92,15731511,118626.55
93,15809248,0
94,15640635,0
95,15676966,0
96,15699461,176273.95
97,15738721,102827.44
98,15693683,97086.4
99,15604348,0
100,15633059,0
101,15808582,0
102,15743192,0
103,15580146,82674.15
104,15776605,0
105,15804919,0
106,15613854,107073.27
107,15599195,88938.62
108,15812878,99806.85
109,15602312,150092.8
110,15744689,92833.89
111,15803526,90536.81
112,15665790,108055.1
113,15715951,100238.35
114,15591100,106190.55
115,15609618,154475.54
116,15675522,132351.29
117,15705512,167864.4
118,15698028,0
119,15661670,107818.63
120,15600781,185173.81
121,15682472,129433.34
122,15580203,120193.42
123,15690673,0
124,15760085,126384.42
125,15779659,0
126,15627360,152603.45
127,15671137,0
128,15782688,148507.24
129,15575492,0
130,15591607,101827.07
131,15740404,0
132,15718369,130862.43
133,15677871,122570.87
134,15642004,0
135,15712543,124828.46
136,15584518,144895.05
137,15802381,63663.93
138,15610156,133463.1
139,15594408,213146.2
140,15640905,129490.36
141,15698932,137452.09
142,15724944,0
143,15628145,125851.93
144,15713483,0
145,15612350,40915.55
146,15800703,113157.22
147,15705707,138296.94
148,15754105,106967.18
149,15703264,120681.63
150,15794413,0
151,15650237,0
152,15759618,0
153,15811589,0
154,15689044,127609.59
155,15709368,0
156,15679145,0
157,15655007,0
158,15623595,0
159,15589975,97259.25
160,15804017,123246.7
161,15692132,101060.25
162,15641122,0
163,15630910,108007.36
164,15680772,0
165,15658929,133702.89
166,15585388,125189.75
167,15724623,113034.22
168,15588537,109013.23
169,15574692,0
170,15611325,57929.81
171,15587562,130114.39
172,15613172,95826.49
173,15651022,129608.57
174,15586310,169462.09
175,15625524,0
176,15755209,133868.21
177,15645248,0
178,15790355,190479.48
179,15762615,101993.12
180,15625426,161608.81
181,15716334,122311.21
182,15789669,0
183,15621075,162150.42
184,15810845,0
185,15719377,0
186,15654506,0
187,15771977,99010.67
188,15708710,0
189,15726676,0
190,15587421,111388.18
191,15726931,56214.85
192,15771086,84327.77
193,15756850,0
194,15702741,93012.89
195,15679200,61710.44
196,15594815,174790.15
197,15635905,0
198,15777892,107720.64
199,15656176,0
200,15811127,96423.84
201,15604482,141040.01
202,15622911,105420.18
203,15600974,0
204,15727868,129022.06
205,15627801,176666.62
206,15773039,0
207,15755262,89763.84
208,15679531,134954.53
209,15684181,0
210,15612087,106376.85
211,15752047,161814.64
212,15624592,0
213,15573152,0
214,15594917,63095.01
215,15785542,118287.01
216,15723488,106854.21
217,15680920,49512.55
218,15786308,0
219,15659366,105799.32
220,15774854,0
221,15725311,114722.05
222,15787155,0
223,15727829,0
224,15733247,0
225,15568748,99564.22
226,15699029,170557.91
227,15774393,0
228,15676895,74596.15
229,15637753,96888.39
230,15605461,130830.22
231,15808473,0
232,15627000,0
233,15787174,0
234,15723886,119714.25
235,15704769,113978.97
236,15772896,100160.75
237,15711540,0
238,15764866,116220.5
239,15794056,0
240,15795149,81173.83
241,15812009,0
242,15651001,116803.8
243,15813844,105961.68
244,15596175,117411.6
245,15576269,0
246,15797219,123497.58
247,15685500,152400.51
248,15599792,0
249,15657566,103097.85
250,15772423,126418.14
251,15628112,77846.9
252,15753754,0
253,15793726,0
254,15694717,79731.91
255,15665834,0
256,15765297,0
257,15636684,0
258,15592979,37266.67
259,15750803,127992.25
260,15607178,54901.01
261,15713853,108748.08
262,15673481,99906.19
263,15686776,184686.41
264,15673693,110654.02
265,15700696,79019.8
266,15813163,99240.51
267,15653857,0
268,15777076,0
269,15717398,0
270,15799217,52436.2
271,15787071,0
272,15619955,100337.96
273,15796505,149297.19
274,15725166,0
275,15800116,145605.44
276,15758685,0
277,15694456,0
278,15767339,0
279,15683562,84026.86
280,15782210,0
281,15668893,0
282,15669169,0
283,15643024,138718.92
284,15699389,118274.71
285,15708608,174185.98
286,15626144,113208.86
287,15573112,103907.28
288,15790678,119023.28
289,15727556,166297.89
290,15697307,0
291,15652266,63227
292,15607098,94521.17
293,15655774,0
294,15590241,112822.26
295,15785819,0
296,15723654,135903.33
297,15774510,125169.26
298,15684173,0
299,15650068,149117.31
300,15811490,0
301,15803976,0
302,15682541,132311.71
303,15695699,0
304,15624188,0
305,15812191,118082.89
306,15636673,119266.69
307,15594898,0
308,15660211,156847.29
309,15773972,137104.47
310,15746726,78398.69
311,15712287,0
312,15702919,63669.42
313,15674398,0
314,15797960,135296.33
315,15631868,153804.44
316,15581539,0
317,15662736,147069.78
318,15666252,0
319,15677512,0
320,15626114,95741.75
321,15810834,145965.33
322,15678910,141441.75
323,15694408,139290.41
324,15585215,0
325,15682757,0
326,15736601,144428.87
327,15601848,0
328,15736008,95441.27
329,15669064,144848.74
330,15624528,116244.14
331,15598493,0
332,15601274,146502.07
333,15702669,117028.6
334,15728669,112013.81
335,15742668,108269.37
336,15697441,182123.79
337,15740476,150923.74
338,15648064,0
339,15636624,165272.13
340,15807923,115301.31
341,15745844,129502.49
342,15786170,118342.26
343,15681081,0
344,15684484,0
345,15785869,0
346,15763859,0
347,15658935,106937.05
348,15747358,170331.37
349,15735203,114510.85
350,15576256,0
351,15659420,107594.11
352,15593365,81273.13
353,15777352,169399.6
354,15812007,0
355,15625461,187841.99
356,15739438,0
357,15611759,126776.3
358,15661629,126436.29
359,15633950,101960.74
360,15592386,0
361,15803716,0
362,15696674,150842.93
363,15706365,102535.57
364,15745088,99027.61
365,15676715,0
366,15613085,0
367,15633537,87271.41
368,15594720,102742.91
369,15684042,40105.51
370,15583303,152265.43
371,15611579,141947.67
372,15774696,106307.91
373,15694506,107884.81
374,15688074,125013.72
375,15759537,58469.37
376,15758449,0
377,15583456,117231.63
378,15667871,152390.26
379,15677371,34013.63
380,15629677,0
381,15713578,0
382,15591509,101583.11
383,15568240,77168.87
384,15622993,124695.72
385,15689294,105934.96
386,15720910,0
387,15721181,0
388,15776433,0
389,15748936,0
390,15717225,161525.96
391,15685226,147199.07
392,15785611,183102.29
393,15573456,127209
394,15684548,0
395,15620505,97378.54
396,15807432,136925.09
397,15584766,54503.55
398,15612187,155726.85
399,15762218,0
400,15646372,135842.41
401,15690452,63349.75
402,15747795,129499.42
403,15781589,0
404,15732674,70438.01
405,15642291,0
406,15692761,0
407,15578045,141434.04
408,15745354,0
409,15701376,152958.29
410,15691625,138306.34
411,15566594,0
412,15760431,0
413,15686302,124328.84
414,15801559,181461.48
415,15810432,0
416,15809616,0
417,15720559,110368.03
418,15695632,89588.35
419,15659843,0
420,15615624,0
421,15810418,115924.89
422,15716186,0
423,15674551,111756.5
424,15622834,0
425,15566111,0
426,15784597,162923.85
427,15652883,124576.65
428,15806964,80793.58
429,15576313,71340.09
430,15806467,99282.63
431,15597602,137946.39
432,15743040,127892.57
433,15705521,101084.36
434,15595039,114754.08
435,15799384,0
436,15581197,99286.98
437,15693737,79871.02
438,15624623,104088.59
439,15783501,168190.33
440,15690134,85679.25
441,15782735,0
442,15611088,0
443,15672145,121551.58
444,15732628,122220.19
445,15787470,116528.15
446,15803406,77780.29
447,15730460,0
448,15644572,125832.2
449,15694860,68065.8
450,15658169,127299.34
451,15794396,174937.64
452,15785798,0
453,15710825,110071.1
454,15668444,139432.37
455,15726631,127357.76
456,15733797,0
457,15747960,0
458,15634632,0
459,15707362,95556.31
460,15662976,0
461,15732778,111681.98
462,15718443,0
463,15670039,108738.71
464,15773792,133950.37
465,15613786,0
466,15726032,89968.69
467,15663252,0
468,15593782,130878.75
469,15633283,0
470,15749167,0
471,15759298,134169.62
472,15683625,149762.08
473,15635367,93844.69
474,15681705,0
475,15603156,0
476,15591986,141078.37
477,15798888,117992.59
478,15809722,100812.33
479,15677538,0
480,15797736,80262.6
481,15695585,156478.62
482,15744398,0
483,15750658,0
484,15578186,115217.99
485,15676519,0
486,15637954,155470.55
487,15758639,0
488,15613772,135096.77
489,15731744,0
490,15807709,180075.22
491,15714689,97541.24
492,15699005,156067.05
493,15624170,81550.94
494,15725679,0
495,15585865,170061.92
496,15804256,92310.54
497,15662403,169089.38
498,15733616,80613.93
499,15591995,121581.56
500,15677020,0
501,15727688,0
502,15715941,0
503,15714485,85891.55
504,15730059,77637.35
505,15715527,0
506,15576623,0
507,15805565,116927.89
508,15677307,137326.65
509,15773890,0
510,15598883,0
511,15568506,67238.98
512,15761043,86569.76
513,15782236,0
514,15593601,133598.4
515,15682048,136188.78
516,15746902,0
517,15752081,0
518,15781307,120092.52
519,15775912,101238.24
520,15745417,89685.92
521,15671256,211774.31
522,15653547,131317.48
523,15595766,93722.73
524,15742358,101160.99
525,15763274,120320.54
526,15786063,0
527,15600258,0
528,15573318,0
529,15653849,152827.99
530,15694272,64097.75
531,15736112,119035.35
532,15749851,135219.57
533,15663478,93694.42
534,15592300,59408.63
535,15567832,114354.95
536,15776780,0
537,15592846,128173.9
538,15739803,0
539,15794142,114931.35
540,15762729,111071.36
541,15667896,151226.18
542,15626578,0
543,15776223,64740.12
544,15705953,169312.13
545,15802593,0
546,15615457,112652.08
547,15708916,0
548,15720187,143964.36
549,15595440,122451.46
550,15600651,0
551,15750141,65253.07
552,15657284,106901.94
553,15763063,128509.63
554,15709324,0
555,15711309,129834.67
556,15775318,154962.99
557,15705515,138241.9
558,15634844,91536.93
559,15717046,0
560,15571816,0
561,15670080,105204.01
562,15800440,152968.73
563,15665678,158261.68
564,15665956,0
565,15788126,121021.05
566,15811773,0
567,15651674,0
568,15689614,137715.66
569,15795564,121192.22
570,15706647,0
571,15728505,100486.18
572,15730076,0
573,15622003,92566.53
574,15607312,0
575,15644753,110929.96
576,15653620,0
577,15761986,138901.61
578,15633922,123217.66
579,15734674,0
580,15658032,0
581,15692671,0
582,15737741,108431.87
583,15576352,0
584,15753719,72392.41
585,15803689,119741.77
586,15718057,100946.71
587,15722010,170491.84
588,15680998,0
589,15614782,0
590,15591047,157296.02
591,15788291,144606.22
592,15604044,134811.3
593,15679587,115897.12
594,15775153,82034
595,15603925,174318.13
596,15680970,114206.84
597,15697183,0
598,15567446,111574.41
599,15637476,162448.69
600,15714939,148249.54
601,15683503,0
602,15645569,123709.46
603,15782569,0
604,15592387,0
605,15609286,150525.8
606,15814035,0
607,15661249,0
608,15629117,0
609,15607170,0
610,15586585,111018.98
611,15686611,129755.99
612,15603203,0
613,15619857,129555.7
614,15805062,87202.38
615,15660271,146133.39
616,15745295,0
617,15719352,170184.99
618,15766575,140745.33
619,15594594,139070.51
620,15646161,0
621,15682585,114193.24
622,15603134,167878.5
623,15636444,141616.55
624,15773456,145747.67
625,15745307,129120.64
626,15604119,110349.82
627,15626900,141325.56
628,15605447,78653.84
629,15589030,0
630,15692463,142253.65
631,15712403,0
632,15811762,115988.86
633,15718673,75592.43
634,15724282,164113.04
635,15738181,67996.23
636,15633648,0
637,15603323,0
638,15583725,138778.15
639,15588350,147832.15
640,15798398,135438.4
641,15784844,116060.08
642,15580684,112564.62
643,15809663,125406.58
644,15640078,135134.99
645,15698786,133102.92
646,15569807,42157.08
647,15730830,0
648,15805112,82259.29
649,15633064,0
650,15703119,0
651,15730447,0
652,15813850,0
653,15711889,150461.07
654,15664610,133994.52
655,15751710,164870.81
656,15692926,121702.73
657,15813741,193858.2
658,15698474,131039.97
659,15568595,113829.45
660,15603065,0
661,15592937,81877.38
662,15699637,116326.07
663,15667215,0
664,15788659,0
665,15763218,0
666,15645772,0
667,15725511,127070.73
668,15575024,0
669,15640825,122549.64
670,15662397,176099.13
671,15576368,122388.38
672,15674991,0
673,15721024,0
674,15745621,118879.35
675,15642394,0
676,15754605,0
677,15607040,88736.44
678,15715142,102703.62
679,15810978,0
680,15668886,0
681,15780804,97318.25
682,15613880,128468.69
683,15775238,133432.59
684,15786905,141782.57
685,15747867,135125.28
686,15600337,178820.91
687,15801277,112212.14
688,15579334,126674.81
689,15802741,136294.97
690,15720649,66392.64
691,15589493,122552.34
